AddressOfEntryPoint,MajorLinkerVersion,MajorImageVersion,MajorOperatingSystemVersion,DllCharacteristics,SizeOfStackReserve,NumberOfSections,ResourceSize,IfMalware
7397,10,0,5,33088,1048576,6,18512,1
188546,14,0,6,33088,1048576,6,91644,0
